Time (s),Mass A X (m),Mass A Y (m),Mass B X (m),Mass B Y (m)
10.70107,-0.02584766,-0.00061423,0.02660038,-0.001173512
10.73441,-0.02303716,-0.001078061,0.02377608,-0.001700129
10.76774,-0.01997869,-0.001356541,0.02037478,-0.002017781
10.80108,-0.01779775,-0.001317989,0.01772423,-0.001995349
10.83442,-0.01762567,-0.001308479,0.01711207,-0.001962721
10.86775,-0.01964822,-0.00133348,0.01876406,-0.002041854
10.90109,-0.02284471,-0.001101123,0.02176073,-0.001912631
10.93443,-0.02588132,-0.0006091135,0.0248761,-0.001496698
10.96776,-0.02766349,-0.0001688193,0.02690594,-0.001057586
11.0011,-0.02752672,-0.000200653,0.02724306,-0.0009518262
11.03444,-0.02551551,-0.0006755764,0.02583654,-0.001305537
11.06777,-0.02235201,-0.001183079,0.02310067,-0.001743513
11.10111,-0.01904531,-0.001344885,0.02001913,-0.00195851
11.13445,-0.0171068,-0.001268033,0.01794965,-0.001974637
11.16778,-0.01737951,-0.001294736,0.01789477,-0.00198186
11.20112,-0.01986944,-0.001333494,0.01988641,-0.002004285
11.23446,-0.02334811,-0.001044115,0.02279628,-0.001812595
11.26779,-0.02644016,-0.0004853721,0.02540335,-0.00143454
11.30113,-0.02802138,-4.533168e-05,0.02677139,-0.001132315
11.33447,-0.02761465,-0.0001424702,0.02652684,-0.001196034
11.3678,-0.02538823,-0.0006863282,0.02466214,-0.001548534
11.40114,-0.02205206,-0.001204779,0.0218752,-0.001908938
11.43448,-0.01876663,-0.001326501,0.01913355,-0.002009643
11.46781,-0.01699785,-0.001246248,0.0177487,-0.001959509
11.50115,-0.01757789,-0.001289922,0.01850087,-0.002001108
11.53449,-0.02014653,-0.001318497,0.02100024,-0.001959893
11.56782,-0.02358492,-0.001031631,0.02393501,-0.001692428
11.60116,-0.02646687,-0.0004803964,0.02624639,-0.001258004
11.6345,-0.02783169,-0.0001254129,0.02709925,-0.001061722
11.66783,-0.02726229,-0.0002824531,0.02618405,-0.001261778
11.70117,-0.02496213,-0.0007952922,0.02376641,-0.001699226
11.73451,-0.02173872,-0.001255173,0.02070621,-0.002003918
11.76784,-0.01879071,-0.001372842,0.01810421,-0.00201779
11.80118,-0.01748392,-0.001338825,0.01724637,-0.001965493
11.83452,-0.01832245,-0.001363729,0.01860238,-0.002024231
11.86785,-0.02094228,-0.001344033,0.0215638,-0.001929584
11.90119,-0.02399915,-0.0009976702,0.02471541,-0.001520264
11.93453,-0.02632344,-0.0005431952,0.02697366,-0.001069999
11.96786,-0.02725021,-0.0003361917,0.02752425,-0.0008904271
12.0012,-0.0263153,-0.0005407157,0.02617084,-0.001197947
12.03454,-0.02392937,-0.001020207,0.02340937,-0.00167281
12.06787,-0.02095497,-0.001329672,0.02006697,-0.001975305
12.10121,-0.01857723,-0.001358837,0.01751017,-0.001973656
12.13455,-0.01798719,-0.00132315,0.01691609,-0.001936464
12.16788,-0.01937792,-0.001342344,0.01861246,-0.002029812
12.20122,-0.02212619,-0.001175749,0.02177691,-0.001900277
12.23456,-0.02492634,-0.000784689,0.02498562,-0.001479803
12.26789,-0.0267401,-0.0003731987,0.02711322,-0.00100495
12.30123,-0.02698116,-0.0003451427,0.02752759,-0.0008778555
12.33457,-0.0254389,-0.0006882903,0.02606183,-0.001238505
12.3679,-0.02271644,-0.00111837,0.02324681,-0.001745361
12.40124,-0.01976139,-0.001333631,0.01996704,-0.001988813
12.43458,-0.01790382,-0.001307765,0.01759483,-0.001967067
12.46791,-0.01799697,-0.00130107,0.01728671,-0.00194987
12.50125,-0.02007897,-0.001325283,0.01911765,-0.002030192
12.53459,-0.02314789,-0.00107213,0.02210167,-0.001888994
12.56792,-0.02588055,-0.0005578183,0.02499928,-0.001476713
12.60126,-0.02740406,-0.0002276086,0.02679103,-0.00107525
12.6346,-0.02705327,-0.0003438406,0.02696448,-0.001065791
12.66793,-0.02500088,-0.0007862677,0.02538514,-0.001384408
12.70127,-0.02188616,-0.001192179,0.0226467,-0.001816225
12.73461,-0.01889856,-0.001307242,0.01976426,-0.00201197
12.76794,-0.01727577,-0.001241245,0.01791204,-0.001992022
12.80128,-0.01784437,-0.00130023,0.01807445,-0.00199784
12.83462,-0.02032964,-0.001319456,0.02009783,-0.002011981
12.86795,-0.0236205,-0.001000346,0.02287583,-0.001796039
12.90129,-0.02645913,-0.0004714449,0.0253462,-0.001439916
12.93463,-0.02780981,-0.0001186651,0.02660569,-0.001160589
12.96796,-0.0272267,-0.0002841357,0.02624987,-0.001229595
13.0013,-0.02487135,-0.0008065836,0.02437872,-0.001607664
13.03464,-0.0216367,-0.001256267,0.02167362,-0.001914124
13.06797,-0.01860164,-0.001375074,0.01912249,-0.001994429
13.10131,-0.01717536,-0.001325537,0.01793649,-0.001973407
13.13465,-0.01795431,-0.001358016,0.01877276,-0.002001982
13.16798,-0.02058375,-0.001332004,0.0211658,-0.001948761
